Pop,Week,N,K,Hdata,Idata
1,0,13,13,1,0
1,0,9,9,1,0
1,0,20,20,1,0
1,0,19,19,1,0
1,3,17,14,0.823529412,0.176470588
1,3,15,10,0.666666667,0.333333333
1,3,16,13,0.8125,0.1875
1,3,15,15,1,0
1,3,16,11,0.6875,0.3125
1,4,19,12,0.631578947,0.368421053
1,4,14,13,0.928571429,0.071428571
1,4,15,12,0.8,0.2
1,4,15,8,0.533333333,0.466666667
1,4,18,14,0.777777778,0.222222222
1,5,18,5,0.277777778,0.722222222
1,5,17,13,0.764705882,0.235294118
1,5,18,2,0.111111111,0.888888889
1,5,19,3,0.157894737,0.842105263
1,5,18,10,0.555555556,0.444444444
1,6,17,2,0.117647059,0.882352941
1,6,13,12,0.923076923,0.076923077
1,6,18,5,0.277777778,0.722222222
1,6,19,14,0.736842105,0.263157895
1,6,20,13,0.65,0.35
1,7,20,20,1,0
1,7,19,19,1,0
1,7,18,18,1,0
1,7,18,18,1,0
1,7,20,20,1,0
2,0,16,16,1,0
2,0,8,8,1,0
2,0,12,12,1,0
2,0,14,14,1,0
2,0,16,16,1,0
2,1,16,16,1,0
2,1,21,21,1,0
2,1,17,17,1,0
2,1,20,20,1,0
2,1,17,17,1,0
2,2,15,15,1,0
2,2,19,19,1,0
2,2,15,15,1,0
2,2,15,15,1,0
2,4,19,18,0.947368421,0.052631579
2,4,21,17,0.80952381,0.19047619
2,4,20,19,0.95,0.05
2,4,18,17,0.944444444,0.055555556
2,4,18,18,1,0
2,5,19,19,1,0
2,5,19,18,0.947368421,0.052631579
2,5,19,16,0.842105263,0.157894737
2,5,20,14,0.7,0.3
2,5,18,18,1,0
2,6,20,5,0.25,0.75
2,6,18,4,0.222222222,0.777777778
2,6,20,11,0.55,0.45
2,6,18,10,0.555555556,0.444444444
2,6,20,20,1,0
2,7,20,20,1,0
2,7,20,20,1,0
2,7,20,20,1,0
2,7,19,19,1,0
2,8,20,20,1,0
2,8,17,17,1,0
2,8,19,18,0.947368421,0.052631579
2,8,20,20,1,0
2,8,20,20,1,0
2,9,20,20,1,0
2,9,20,20,1,0
2,9,17,17,1,0
2,9,19,19,1,0
2,9,17,17,1,0
3,0,18,18,1,0
3,0,19,19,1,0
3,0,21,21,1,0
3,0,21,21,1,0
3,1,12,12,1,0
3,1,15,15,1,0
3,1,17,17,1,0
3,1,18,18,1,0
3,1,18,18,1,0
3,2,19,19,1,0
3,2,16,16,1,0
3,2,20,20,1,0
3,2,20,20,1,0
3,2,20,20,1,0
3,3,17,17,1,0
3,3,20,20,1,0
3,3,13,13,1,0
3,3,17,17,1,0
3,3,16,16,1,0
3,4,20,20,1,0
3,4,17,17,1,0
3,4,19,18,0.947368421,0.052631579
3,4,19,19,1,0
3,4,26,20,0.769230769,0.230769231
3,5,19,16,0.842105263,0.157894737
3,5,20,19,0.95,0.05
3,5,20,18,0.9,0.1
3,5,18,15,0.833333333,0.166666667
3,5,19,16,0.842105263,0.157894737
3,6,20,13,0.65,0.35
3,6,19,15,0.789473684,0.210526316
3,6,18,13,0.722222222,0.277777778
3,6,15,7,0.466666667,0.533333333
3,6,18,5,0.277777778,0.722222222
3,7,20,12,0.6,0.4
3,7,18,15,0.833333333,0.166666667
3,7,20,19,0.95,0.05
3,7,20,17,0.85,0.15
3,7,20,4,0.2,0.8
3,8,19,11,0.578947368,0.421052632
3,8,19,2,0.105263158,0.894736842
3,8,19,2,0.105263158,0.894736842
3,8,20,7,0.35,0.65
3,8,20,2,0.1,0.9
3,9,18,18,1,0
3,9,18,18,1,0
3,9,18,17,0.944444444,0.055555556
3,9,20,20,1,0
3,9,20,20,1,0
3,10,20,20,1,0
3,10,19,19,1,0
3,10,18,18,1,0
3,10,18,18,1,0
4,0,19,19,1,0
4,0,18,18,1,0
4,0,17,5,0.294117647,0.705882353
4,0,18,18,1,0
