EVENT_YEAR,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
2008,629,629,17466.947,152006647.052,151989180.105,407664668.372,648115.53000318,169233.848,6104112.53031926,17466.947,17466.947,80297.179,405019.309,324722.13
2012,11,11,518103.326,25055445.209,24537341.883,81555696.556,7414154.23236364,2952139.275,8017258.44845158,518103.326,518103.326,1408903.3435,9962699.4865,8553796.143
2013,147,147,3651.244,9981974.319,9978323.075,92189271.208,627137.89937415,272544.378,1117027.85087332,3651.244,3651.244,134612.7435,636874.0375,502261.294
2015,13,13,491062.751,5763768.885,5272706.134,25148467.243,1934497.48023077,1639676.287,1403154.19161408,491062.751,491062.751,1202100.983,1908746.031,706645.048
2014,111,107,100.651,42003167.565,42003066.914,233532197.52,2103893.67135135,414816.967,5501481.80194013,21071.129,100.651,109883.5665,1417343.83,1307460.2635
2000,1,1,187393237.181,187393237.181,0,187393237.181,187393237.181,187393237.181,0,187393237.181,187393237.181,187393237.181,187393237.181,0
2001,1,1,73962698.801,73962698.801,0,73962698.801,73962698.801,73962698.801,0,73962698.801,73962698.801,73962698.801,73962698.801,0
2002,68,68,31120.401,965181183.536,965150063.135,1542775851.046,22687880.1624412,710204.4425,124752809.535252,31120.401,31120.401,262195.713,1716768.0475,1454572.3345
2003,49,49,286048.227,120821266.808,120535218.581,594909621.135,12141012.6762245,2545509.171,23011571.2410038,286048.227,286048.227,1221124.045,10749924.672,9528800.627
1999,165,165,17627.934,14100592.867,14082964.933,154170333.094,934365.655115151,241351.915,2249315.88718587,17627.934,17627.934,101255.347,550238.717,448983.37
1998,64,64,10902.812,5810714.4,5799811.588,30732649.896,480197.654625,145270.8155,1015451.23152144,10902.812,10902.812,36429.086,397569.327,361140.241
2007,2,2,17987817.028,311172786.966,293184969.938,329160603.994,164580301.997,164580301.997,146592484.969,17987817.028,17987817.028,17987817.028,311172786.966,293184969.938
2006,1,1,103866111.466,103866111.466,0,103866111.466,103866111.466,103866111.466,0,103866111.466,103866111.466,103866111.466,103866111.466,0
2009,60,60,679.311,4717178.551,4716499.24,36213345.61,603555.760166666,340897.0965,884331.166443222,679.311,679.311,150271.3785,744867.7365,594596.358
2004,1,1,1778037.23,1778037.23,0,1778037.23,1778037.23,1778037.23,0,1778037.23,1778037.23,1778037.23,1778037.23,0
1996,67,67,67413.84,24242956.158,24175542.318,72629400.963,1084020.90989552,291200.929,3331343.69467438,67413.84,67413.84,163223.581,365950.487,202726.906
2005,25,25,28541.888,3612444.929,3583903.041,12492211.684,499688.46736,281737.278,748150.941478453,28541.888,28541.888,70286.736,493776.969,423490.233
2017,161,161,3253.066,12642418.485,12639165.419,108100902.545,671434.177298137,282343.615,1256493.30052285,3253.066,3253.066,139826.269,560878.008,421051.739
2020,24567,24551,0,126175149.187,126175149.187,5858301540.62601,238462.227403672,9142.278,2008050.34621021,0,0.011,2172.9815,67349.818,65176.8365
2019,988,988,1.38,15327207.419,15327206.039,471573477.813,477301.090903846,250063.397,782600.312677971,1.38,1.38,116785.3705,556975.868,440190.4975
2018,1,1,148739463.096,148739463.096,0,148739463.096,148739463.096,148739463.096,0,148739463.096,148739463.096,148739463.096,148739463.096,0
2021,82559,82443,100.138,327391554.834,327391454.696,17875101150.682,216513.053097566,10246.133,2685411.82926006,100.138,136.366,3442.729,50226.019,46783.29
2022,5595,5594,0.003,5597017.009,5597017.006,580649084.037998,103779.997147095,13923.298,283840.755915287,0.003,0.798,3811.803,74871.3775,71059.5745
2023,294,294,0.708,2101950.036,2101949.328,25303212.53,86065.3487414965,9610.15,202420.385914926,0.708,0.708,2104.872,79068.091,76963.219
