eggs_per_hectare,cumulative_fracinf,literature
0,0.273777778,Hajek_vanNouhuys
0,0.123809524,Hajek_vanNouhuys
0,0.350649351,Hajek_vanNouhuys
0,0.334677419,Hajek_vanNouhuys
0,0.595238095,Hajek_vanNouhuys
0,0.982142857,Hajek_vanNouhuys
0,0.666666667,Hajek_vanNouhuys
49,0.696969697,Hajek_vanNouhuys
301.5,1,Hajek_vanNouhuys
346,0.791666667,Hajek_vanNouhuys
420,0.75,Hajek_vanNouhuys
469,0,Hajek_vanNouhuys
659.7,0.923611111,Hajek_vanNouhuys
802.2,1,Hajek_vanNouhuys
815,0.648148148,Hajek_vanNouhuys
1013,1,Hajek_vanNouhuys
1062,0.656108597,Hajek_vanNouhuys
1062,0.637931034,Hajek_vanNouhuys
1133.4,0.947368421,Hajek_vanNouhuys
1161,0.97686524,Hajek_vanNouhuys
1284,0.966759003,Hajek_vanNouhuys
1284,1,Hajek_vanNouhuys
1482,0.970899471,Hajek_vanNouhuys
1531,0.668965517,Hajek_vanNouhuys
1581,0.484848485,Hajek_vanNouhuys
1729,1,Hajek_vanNouhuys
1902,0.666666667,Hajek_vanNouhuys
1976,1,Hajek_vanNouhuys
2248,0,Hajek_vanNouhuys
2421,1,Hajek_vanNouhuys
2594,1,Hajek_vanNouhuys
2647.7,1,Hajek_vanNouhuys
2692,0.925,Hajek_vanNouhuys
2766,0.944444444,Hajek_vanNouhuys
2865,1,Hajek_vanNouhuys
2939,1,Hajek_vanNouhuys
2940,1,Hajek_vanNouhuys
2941,1,Hajek_vanNouhuys
2942,1,Hajek_vanNouhuys
3186,0.855855856,Hajek_vanNouhuys
3483,0.788655789,Hajek_vanNouhuys
3631,0.930871956,Hajek_vanNouhuys
3631,0.896032832,Hajek_vanNouhuys
4298,0.611428571,Hajek_vanNouhuys
4397,0.987234043,Hajek_vanNouhuys
5335,0.666666667,Hajek_vanNouhuys
5632,0.9375,Hajek_vanNouhuys
7608,1,Hajek_vanNouhuys
8225,0.931623932,Hajek_vanNouhuys
8917,0.851608187,Hajek_vanNouhuys
9633,0.741604938,Hajek_vanNouhuys
10003,0.793650794,Hajek_vanNouhuys
10028,0.992857143,Hajek_vanNouhuys
11535,1,Hajek_vanNouhuys
11609,0.948333333,Hajek_vanNouhuys
12350,0.958830306,Hajek_vanNouhuys
12350,0.948717949,Hajek_vanNouhuys
13931,0.951612903,Hajek_vanNouhuys
14079,0.688394277,Hajek_vanNouhuys
15783,0.860859224,Hajek_vanNouhuys
22946,0.97037037,Hajek_vanNouhuys
10,0.987399825,Liebhold
10,0.901920693,Liebhold
10,0.950178202,Liebhold
10,0.615843178,Liebhold
50,0.845871021,Liebhold
453.5690653,0.797954675,Liebhold
555.1666667,0.902256252,Liebhold
715.8823529,0.884508894,Liebhold
854.6101274,0.943826836,Liebhold
980.8139174,0.917505914,Liebhold
1267.575758,0.788882485,Liebhold
1875.438596,0.980649506,Liebhold
2224.102564,0.94416799,Liebhold
2381.833333,0.955307498,Liebhold
3261.166667,0.973838388,Liebhold
3429.041293,0.996852227,Liebhold
3590.5,0.934456617,Liebhold
4854.444444,0.896619241,Liebhold
6012.614379,0.992369366,Liebhold
6744.886128,0.987944391,Liebhold
10293.22581,0.898634119,Liebhold
14472.16667,0.767386637,Liebhold
18826.58879,0.986481353,Liebhold
41710.03768,0.783600829,Liebhold
2612.5,0.657,Malakar
637.5,0.071,Smitley
16232.5,0.093,Smitley
16757.5,0.117,Smitley
20695,0.025,Smitley
1007.5,0.055,Smitley
250,0.426,Smitley
832.5,0.296,Smitley
1037.5,0.351,Smitley
932.5,0.99,Smitley
1245,0.96,Smitley
1512.5,0.92,Smitley
17970,0.398,Smitley
9537.5,0.2,Smitley
711,0.4,Kyle
6060.781,0.8630921,Kyle
1422,0.88702,Kyle
4480.781,0.6284095,Kyle
3277.266,0.2379868,Kyle
138.25,0,Kyle
118.5,0,Kyle
15266.75,0,Kyle
45.3,0.877,Hajek1990allo
42.5,0.782,Hajek1990allo
42.5,0.786,Hajek1990allo
19.8,0.603,Hajek1990allo
5300,0.64,Hajek1997
7400,0.64,Hajek1997
10900,0.64,Hajek1997
13500,0.64,Hajek1997
5100,0.64,Hajek1997
7400,0.64,Hajek1997
2300,0.64,Hajek1997
3100,0.64,Hajek1997
19540,0.77,Hajek1997
23010,0.77,Hajek1997
17040,0.77,Hajek1997
103,0.186,Hajek1997
0,0.7,Hajek1997
0,0.06,Hajek1997
11,0.946,Hajek1997
0,0.167,Hajek1996
0,0.636,Hajek1996
0,0.129,Hajek1996
1267,0.35875,Hajek1996
1327,0.5155,Hajek1996
705,0.629025,Hajek1996
119,0.8173,Hajek1996
317,0.588798438,Hajek1996
733,0.962,Hajek1996
1960,0.883247613,Hajek1996
2280,0.684,Webb1999
267,0.846,Webb1999
364,0.584,Webb1999
10293,0.287,Webb2005
15295,0.447,Webb2005
10087,0.642,Webb2005
5979,0.782,Webb2005
