"","X","lon","lat","epirainh","epirainf","epiraindiff","epirhh","epirhf","epirhdiff","epiaveth","epiavetf","epiavetdiff","V12"
"509",693,-89.6975708007812,46.7211074829102,38.65859,53.78001,15.12142,77.15004,74.81663,-2.33341,17.97804,19.23612,1.25808,0.0238039803874912
"510",694,-89.6625671386719,46.8302612304688,56.54061,74.14024,17.59963,77.03949,75.42276,-1.61673,18.65399,19.80844,1.15445,0.0189018600561113
"610",840,-89.6435546875,46.3696403503418,36.50546,44.36282,7.85736,78.54875,76.44032,-2.10843,17.56438,19.08483,1.52045,0.0402234784888051
"613",843,-89.5384216308594,46.6970329284668,39.37198,50.76429,11.39231,77.0255,74.92528,-2.10021999999999,17.9394,19.24634,1.30694,0.00498004604649083
"614",844,-89.5031127929688,46.8061408996582,42.01599,52.68504,10.66905,75.2587,73.19142,-2.06728000000001,18.18437,19.43413,1.24976,0.00131718068211484
"716",991,-89.4502563476562,46.4545974731445,36.69048,47.7401,11.04962,77.51536,75.12351,-2.39185000000001,17.70585,19.18965,1.4838,0.0429995370280878
"717",992,-89.4148864746094,46.5636749267578,38.14816,47.22916,9.081,77.71795,75.27251,-2.44544,17.76845,19.15097,1.38252,0.0305931157261909
"718",993,-89.37939453125,46.6727485656738,40.20774,48.41024,8.2025,76.90127,74.89041,-2.01085999999999,17.89651,19.21892,1.32241,0.0246933757210996
"719",994,-89.3437805175781,46.7817993164062,43.17216,53.06229,9.89013,75.52083,73.61359,-1.90724,18.09534,19.36026,1.26492,0.00769785682359014
"822",1141,-89.2919616699219,46.4301872253418,38.39203,48.05795,9.66592,77.90134,75.68694,-2.2144,17.67813,19.12004,1.44191,0.0435536260247034
"823",1142,-89.2563171386719,46.5392189025879,37.41673,47.5633,10.14657,78.27218,76.07629,-2.19589000000001,17.7007,19.05612,1.35542,0.018767520162001
"824",1143,-89.2205200195312,46.6482467651367,38.77935,50.74385,11.9645,77.10872,74.77823,-2.33049000000001,17.89357,19.13413,1.24056,0.00692391023699201
"825",1144,-89.1846008300781,46.7572479248047,40.40159,49.89566,9.49407,76.78564,74.66531,-2.12033,17.93082,19.2312,1.30038,0.0162704409816996
"826",1145,-89.1485595703125,46.8662452697754,39.96248,52.51469,12.55221,76.20092,74.28465,-1.91627,18.04665,19.29194,1.24529,0.0395830478154906
"900",1262,-90.1175842285156,43.2407836914062,49.25447,50.08483,0.830359999999999,77.14613,74.1624,-2.98372999999999,17.9196,19.0893,1.1697,0.0289092667469006
"905",1267,-89.9556579589844,43.7867698669434,39.67963,43.39975,3.72011999999999,74.72994,71.16278,-3.56716,18.14251,19.45454,1.31203,0.0482411891905059
"909",1271,-89.8239135742188,44.2235221862793,39.52308,51.34482,11.82174,74.32469,70.50254,-3.82215000000001,18.22193,19.55796,1.33603,0.0413059032075935
"930",1292,-89.097900390625,46.5145492553711,39.48014,47.68662,8.20648,76.78762,74.65182,-2.1358,17.81263,19.13537,1.32274,0.0315268773898936
"932",1294,-89.0255737304688,46.732479095459,36.09936,47.22091,11.12155,77.96923,75.95662,-2.01261,17.8193,19.10184,1.28254,0.0486592853224082
"1009",1413,-89.9353332519531,43.3264656066895,45.05003,46.74785,1.69782,77.23487,74.11111,-3.12376,17.9718,19.17079,1.19899,0.00442837070599467
"1011",1415,-89.8701477050781,43.5447731018066,38.8178,39.43576,0.617960000000004,75.47204,71.84218,-3.62986000000001,18.11347,19.39847,1.285,0.0356126754811044
"1012",1416,-89.8373718261719,43.653923034668,38.94638,41.16217,2.21579000000001,76.20798,72.84878,-3.3592,17.98455,19.2389,1.25435,0.0216495093190048
"1015",1419,-89.73828125,43.9813537597656,41.31576,43.82006,2.5043,74.45853,70.84522,-3.61331,18.20229,19.57385,1.37156,0.0209895464181074
"1116",1562,-89.8180236816406,43.1936264038086,41.23804,47.21154,5.9735,75.59477,71.87649,-3.71827999999999,17.973,19.14563,1.17263,0.0420900028931044
"1118",1564,-89.7525634765625,43.4118461608887,40.42556,41.1408,0.715240000000001,76.67362,73.28543,-3.38818999999999,17.96245,19.23881,1.27636,0.00920396326940676
"1119",1565,-89.7196044921875,43.5209579467773,37.27551,38.09673,0.821220000000004,74.83736,71.09453,-3.74283,18.1481,19.43745,1.28935,0.0479132630345944
"1148",1594,-88.7079467773438,46.6822929382324,35.92288,46.59644,10.67356,77.13787,75.25149,-1.88638,17.83528,19.11786,1.28258,0.0213508118140879
"1153",1599,-88.5216369628906,47.2263679504395,30.23211,44.02678,13.79467,76.3158,74.78603,-1.52977,18.11949,19.40465,1.28516,0.00443439166029691
