Pop,Week,N,K,Hdata,Idata
1,0,10,10,1,0
1,0,14,14,1,0
1,0,13,13,1,0
1,0,15,14,0.933333333,0.066666667
1,0,15,14,0.933333333,0.066666667
1,3,18,15,0.833333333,0.166666667
1,3,16,16,1,0
1,3,13,6,0.461538462,0.538461538
1,3,12,8,0.666666667,0.333333333
1,3,16,12,0.75,0.25
1,4,17,8,0.470588235,0.529411765
1,4,19,19,1,0
1,4,14,5,0.357142857,0.642857143
1,4,14,5,0.357142857,0.642857143
1,4,17,12,0.705882353,0.294117647
1,5,20,7,0.35,0.65
1,5,20,3,0.15,0.85
1,5,20,7,0.35,0.65
1,5,20,12,0.6,0.4
1,5,20,4,0.2,0.8
1,6,18,15,0.833333333,0.166666667
1,6,18,15,0.833333333,0.166666667
1,6,18,11,0.611111111,0.388888889
1,6,19,16,0.842105263,0.157894737
1,6,20,18,0.9,0.1
1,7,21,21,1,0
1,7,20,20,1,0
1,7,20,19,0.95,0.05
1,7,20,20,1,0
1,7,19,19,1,0
2,0,14,14,1,0
2,0,11,11,1,0
2,0,19,19,1,0
2,0,10,10,1,0
2,0,8,8,1,0
2,1,19,19,1,0
2,1,15,15,1,0
2,1,20,20,1,0
2,2,20,20,1,0
2,2,19,19,1,0
2,2,16,16,1,0
2,2,16,16,1,0
2,2,18,18,1,0
2,5,20,20,1,0
2,5,20,4,0.2,0.8
2,5,20,11,0.55,0.45
2,5,20,16,0.8,0.2
2,5,20,17,0.85,0.15
2,6,16,7,0.4375,0.5625
2,6,17,17,1,0
2,6,18,18,1,0
2,6,19,19,1,0
2,7,20,20,1,0
2,7,20,20,1,0
2,7,20,20,1,0
2,8,19,15,0.789473684,0.210526316
2,8,20,20,1,0
2,8,19,17,0.894736842,0.105263158
2,8,20,20,1,0
2,9,19,19,1,0
2,9,18,18,1,0
2,9,20,20,1,0
2,9,19,19,1,0
2,9,20,20,1,0
3,0,19,19,1,0
3,0,19,19,1,0
3,0,18,18,1,0
3,0,18,18,1,0
3,1,16,16,1,0
3,1,17,17,1,0
3,1,17,17,1,0
3,1,18,18,1,0
3,1,18,18,1,0
3,3,16,16,1,0
3,3,16,16,1,0
3,3,19,19,1,0
3,3,15,15,1,0
3,3,16,16,1,0
3,5,19,16,0.842105263,0.157894737
3,5,19,16,0.842105263,0.157894737
3,5,18,16,0.888888889,0.111111111
3,5,20,18,0.9,0.1
3,5,20,10,0.5,0.5
3,6,20,10,0.5,0.5
3,6,19,9,0.473684211,0.526315789
3,6,20,18,0.9,0.1
3,6,19,6,0.315789474,0.684210526
3,6,20,3,0.15,0.85
3,7,20,4,0.2,0.8
3,7,19,14,0.736842105,0.263157895
3,7,20,9,0.45,0.55
3,7,20,2,0.1,0.9
3,7,20,4,0.2,0.8
