Pop,Date,total,virus,fungus,Sdata,Fdata,Vdata
1,2,29,0,0,1,0,0
1,3,44,0,16,0.733333333,0.266666667,0
1,4,27,0,6,0.818181818,0.181818182,0
2,0,100,0,0,1,0,0
2,1,100,0,0,1,0,0
2,2,100,0,0,1,0,0
2,3,94,1,10,0.903846154,0.096153846,0.00952381
2,4,87,5,8,0.915789474,0.084210526,0.05
2,5,34,2,67,0.336633663,0.663366337,0.019417476
2,6,62,16,24,0.720930233,0.279069767,0.156862745
2,7,13,3,10,0.565217391,0.434782609,0.115384615
3,0,32,0,0,1,0,0
3,1,50,0,0,1,0,0
3,2,82,0,0,1,0,0
3,3,54,0,0,1,0,0
3,4,96,1,0,1,0,0.010309278
3,5,96,0,1,0.989690722,0.010309278,0
3,6,51,2,17,0.75,0.25,0.028571429
3,7,18,0,79,0.18556701,0.81443299,0
3,8,12,1,3,0.8,0.2,0.0625
4,0,66,0,1,0.985074627,0.014925373,0
4,1,100,0,0,1,0,0
4,2,99,1,0,1,0,0.01
4,3,95,0,0,1,0,0
4,4,95,4,1,0.989583333,0.010416667,0.04
4,5,74,1,25,0.747474748,0.252525253,0.01
4,6,54,2,44,0.551020408,0.448979592,0.02
4,7,84,4,9,0.903225807,0.096774194,0.041237113
4,8,11,3,0,1,0,0.214285714
5,0,84,1,0,1,0,0.011627907
5,1,93,0,0,1,0,0
5,2,107,3,0,1,0,0.026548673
5,3,105,1,0,1,0,0.009345794
5,4,100,1,1,0.99009901,0.00990099,0.009708738
5,5,94,5,5,0.94949495,0.050505051,0.04587156
5,6,93,1,2,0.978947368,0.021052632,0.010309278
5,7,46,0,8,0.851851852,0.148148148,0
5,8,58,0,2,0.966666667,0.033333333,0
8,0,80,20,0,1,0,0.2
8,1,48,48,0,1,0,0.5
8,2,55,45,0,1,0,0.45
8,3,14,4,0,1,0,0.222222222
8,4,4,10,0,1,0,0.714285714
8,5,3,5,0,1,0,0.625
8,7,4,1,0,1,0,0.2
8,8,10,0,0,1,0,0
7,2,1,0,0,1,0,0
7,3,1,0,0,1,0,0
7,4,1,0,0,1,0,0
