insect_density,pct_above0,mean,5th_pct,95th_pct,group,model
0.25,7.532468,-7.645174,-15.6215,1.191518,Fraction_Infected,normal
2.5,5.064935,-10.54809221,-19.46281764,0.028612944,Fraction_Infected,normal
10,1.883116883,-18.38836964,-31.49660325,-3.00221872,Fraction_Infected,normal
25,1.136363636,-23.3599438,-36.1754198,-6.8807056,Fraction_Infected,normal
50,0.71428571,-19.4974,-33.0931402,-6.2136524,Fraction_Infected,normal
100,0.681818182,-10.0523458,-20.6839271,-2.3047007,Fraction_Infected,normal
250,1.850649351,-1.7879874,-5.8297148,-0.03967582,Fraction_Infected,normal
1000,7.532468,-0.03304048,-0.1543001,0.000200001,Fraction_Infected,normal
0.25,92.17532,0.3377801,-0.05739994,0.695221,Defoliation,normal
2.5,94.64286,0.7682594,-0.01522355,1.549165,Defoliation,normal
10,96.62338,1.2468376,0.07877793,3.022453,Defoliation,normal
25,94.25325,3.4277349,-0.03961846,10.733761,Defoliation,normal
50,94.25325,10.0800314,-0.06935409,27.92092,Defoliation,normal
100,98.83117,20.7849787,2.40730384,42.364568,Defoliation,normal
250,98.31169,19.7450887,3.13172303,39.271305,Defoliation,normal
1000,90.71429,2.121971,-0.4109966,9.528894,Defoliation,normal
