insect_density,pct_above0,mean,5th_pct,95th_pct,group,model
0.25,7.532468,-7.645174,-15.6215,1.191518,Fraction_Infected,normal
2.5,5.064935,-10.54809221,-19.46281764,0.028612944,Fraction_Infected,normal
10,1.883116883,-18.38836964,-31.49660325,-3.00221872,Fraction_Infected,normal
25,1.136363636,-23.3599438,-36.1754198,-6.8807056,Fraction_Infected,normal
50,0.71428571,-19.4974,-33.0931402,-6.2136524,Fraction_Infected,normal
100,0.681818182,-10.0523458,-20.6839271,-2.3047007,Fraction_Infected,normal
250,1.850649351,-1.7879874,-5.8297148,-0.03967582,Fraction_Infected,normal
1000,7.532468,-0.03304048,-0.1543001,0.000200001,Fraction_Infected,normal
0.25,92.17532,0.3377801,-0.05739994,0.695221,Defoliation,normal
2.5,94.64286,0.7682594,-0.01522355,1.549165,Defoliation,normal
10,96.62338,1.2468376,0.07877793,3.022453,Defoliation,normal
25,94.25325,3.4277349,-0.03961846,10.733761,Defoliation,normal
50,94.25325,10.0800314,-0.06935409,27.92092,Defoliation,normal
100,98.83117,20.7849787,2.40730384,42.364568,Defoliation,normal
250,98.31169,19.7450887,3.13172303,39.271305,Defoliation,normal
1000,90.71429,2.121971,-0.4109966,9.528894,Defoliation,normal
0.25,7.824675,-7.51848,-15.32452,1.156578,Fraction_Infected,ndm
2.5,5.097403,-10.2531,-19.02895,0.06209429,Fraction_Infected,ndm
10,2.045455,-17.82126,-30.86674,-2.961951,Fraction_Infected,ndm
25,1.298701,-23.11474,-35.85801,-6.583587,Fraction_Infected,ndm
50,1.038961,-19.85132,-33.3143,-6.662476,Fraction_Infected,ndm
100,1.168831,-10.66367,-21.77069,-2.503103,Fraction_Infected,ndm
250,6.363636,-2.053335,-6.641579,0.03380099,Fraction_Infected,ndm
1000,47.04545,-0.09691722,-0.6782991,0.2625256,Fraction_Infected,ndm
0.25,92.62987,0.3580073,-0.04968285,0.7508704,Defoliation,ndm
2.5,94.64286,0.8017472,-0.02318481,1.586413,Defoliation,ndm
10,96.68831,1.247541,0.07199965,2.933993,Defoliation,ndm
25,94.15584,3.22649,-0.03434346,9.881299,Defoliation,ndm
50,93.83117,9.482956,-0.07290965,26.61499,Defoliation,ndm
100,98.8961,20.25653,2.068599,42.22242,Defoliation,ndm
250,98.31169,20.37776,3.525301,39.82969,Defoliation,ndm
1000,90.68182,2.33184,-0.3699287,9.955865,Defoliation,ndm
0.25,8.246753,-7.299365,-14.75344,1.294442,Fraction_Infected,ndmh
2.5,5.357143,-9.72542,-18.0189,0.3526908,Fraction_Infected,ndmh
10,2.467532,-16.66681,-29.3542,-2.629471,Fraction_Infected,ndmh
25,1.623377,-22.48735,-35.15637,-5.966506,Fraction_Infected,ndmh
50,1.623377,-20.61172,-33.7957,-7.501541,Fraction_Infected,ndmh
100,1.428571,-12.12422,-24.26548,-3.170184,Fraction_Infected,ndmh
250,8.993506,-2.864652,-8.718725,0.202843,Fraction_Infected,ndmh
1000,40.48701,-0.3609316,-2.046853,0.7112936,Fraction_Infected,ndmh
0.25,88.14935,0.3511797,-0.09953647,0.8321187,Defoliation,ndmh
2.5,92.43506,0.8072862,-0.09003172,1.683742,Defoliation,ndmh
10,95.68182,1.229146,0.02607448,2.81342,Defoliation,ndmh
25,94.22078,2.836632,-0.03138174,8.644451,Defoliation,ndmh
50,93.86364,8.282137,-0.07488805,23.53421,Defoliation,ndmh
100,98.44156,18.87374,1.519858,41.26173,Defoliation,ndmh
250,98.57143,21.68331,4.101291,40.91504,Defoliation,ndmh
1000,91.49351,2.849901,-0.4319432,11.17124,Defoliation,ndmh
