insect_density,pct_above0,mean,5th_pct,95th_pct,group,model
0.25,0,-25.4851858,-33.5820199,-15.9493376,Fraction_Infected,upper75
2.5,0,-29.2562334,-38.734063,-18.477037,Fraction_Infected,upper75
10,0,-40.8334677,-55.5363775,-25.5949914,Fraction_Infected,upper75
25,0,-50.0113311,-66.0127403,-32.5087669,Fraction_Infected,upper75
50,0,-41.5803537,-59.1061373,-20.6628283,Fraction_Infected,upper75
100,0,-19.5553325,-39.3188302,-2.367543,Fraction_Infected,upper75
250,0,-1.7309009,-5.4267885,-0.006460378,Fraction_Infected,upper75
1000,0,-0.002956352,-0.00033,0,Fraction_Infected,upper75
0.25,5.584416,-0.2232484,-0.4946575,0.000190863,Defoliation,lower25
2.5,9.87013,-0.1170911,-0.3969603,7.79E-08,Defoliation,lower25
10,11.36364,-0.03566599,-0.2245641,4.33E-10,Defoliation,lower25
25,13.24675,-0.05317145,-0.3174846,5.63E-09,Defoliation,lower25
50,23.57143,-0.5092283,-3.887717,0.003614042,Defoliation,lower25
100,36.42857,-1.962738,-12.42459,1.97058,Defoliation,lower25
250,22.17532,-2.048487,-12.80691,1.54857,Defoliation,lower25
1000,0,-0.177345,-0.3349212,0,Defoliation,lower25
0.25,9.44E+01,9.6775695,-0.3316604,18.6845351,Fraction_Infected,lower25
2.5,8.62E+01,7.6859856,-2.8282396,18.3684634,Fraction_Infected,lower25
10,67.07792208,4.6981155,-8.5858721,20.3975004,Fraction_Infected,lower25
25,52.79220779,2.7833697,-12.3648011,22.8712961,Fraction_Infected,lower25
50,51.07142857,1.2787425,-11.123547,19.2214017,Fraction_Infected,lower25
100,56.2987013,0.8823967,-3.703566,10.8184178,Fraction_Infected,lower25
250,6.22E+01,0.1443675,-0.009724527,0.6308353,Fraction_Infected,lower25
1000,7.53E+00,0.000341957,0,2.00E-05,Fraction_Infected,lower25
0.25,100,0.7691886,0.4040322,1.123409,Defoliation,upper75
2.5,100,0.8623126,0.4102018,1.398947,Defoliation,upper75
10,100,1.405747,0.4241942,3.004794,Defoliation,upper75
25,100,4.142465,0.497611,11.15466,Defoliation,upper75
50,100,14.0084,0.9927832,35.75431,Defoliation,upper75
100,100,35.94441,5.23712,65.7972,Defoliation,upper75
250,99.77273,38.62197,5.37426,71.55842,Defoliation,upper75
1000,30.12987,1.070307,0,2.592066,Defoliation,upper75
