insect_density,pct_above0,mean,5th_pct,95th_pct,group,model
0.25,12.66234,-5.696749,-13.45183,1.817988,Fraction_Infected,normal
2.5,7.305195,-7.49953,-15.06203,0.5718493,Fraction_Infected,normal
10,5.12987,-11.85627,-24.10492,0.2171786,Fraction_Infected,normal
25,7.564935,-13.26336,-29.51841,1.831952,Fraction_Infected,normal
50,10.90909,-9.346883,-26.00457,3.642391,Fraction_Infected,normal
100,16.49351,-3.886897,-15.13011,1.689356,Fraction_Infected,normal
250,27.20779,-0.6578139,-2.931966,0.131199,Fraction_Infected,normal
1000,25.32468,-0.02467958,-0.008720038,0.000400002,Fraction_Infected,normal
0.25,87.46753,0.2565114,-0.07726784,0.5945019,Defoliation,normal
2.5,93.05195,0.5637613,-0.04892925,1.1978816,Defoliation,normal
10,93.08442,0.8882098,-0.10986329,2.4850415,Defoliation,normal
25,86.13636,2.4465923,-0.61765375,8.7746911,Defoliation,normal
50,86.13636,6.7295754,-2.9479588,21.4664591,Defoliation,normal
100,83.53896,11.1811042,-11.11733452,33.2759655,Defoliation,normal
250,76.00649,6.7612938,-8.65657345,27.1836981,Defoliation,normal
1000,62.98701,0.7447114,-0.77392139,3.9977397,Defoliation,normal
