insect_density,pct_above0,mean,5th_pct,95th_pct,group,model
0.25,5.357143,-8.685329,-17.69608,0.1952178,Fraction_Infected,normal
2.5,1.266234,-10.15067,-17.97475,-2.318922,Fraction_Infected,normal
10,0.5194805,-13.48206,-22.78308,-4.415362,Fraction_Infected,normal
25,1.331169,-15.09518,-25.17201,-4.33574,Fraction_Infected,normal
50,0.6818182,-14.00669,-22.90794,-5.479581,Fraction_Infected,normal
100,0.1298701,-10.26193,-18.61579,-3.124581,Fraction_Infected,normal
250,0.3571429,-4.57045,-10.51274,-0.1531073,Fraction_Infected,normal
1000,1.266234,-1.495566,-7.466381,-1.00E-05,Fraction_Infected,normal
0.25,94.74026,0.3765133,-0.006897687,0.7527655,Defoliation,normal
2.5,98.7987,0.7146655,0.174710175,1.2734194,Defoliation,normal
10,97.85714,0.8846485,0.072445647,2.2156729,Defoliation,normal
25,77.33766,2.0641029,-0.921920873,8.0532705,Defoliation,normal
50,72.43506,5.03581,-4.103471586,18.9417896,Defoliation,normal
100,83.76623,10.562038,-4.749821666,29.5620286,Defoliation,normal
250,97.46753,15.0557077,1.859371969,28.0297183,Defoliation,normal
1000,95.55195,4.9616417,0.006880275,11.240676,Defoliation,normal
