,X,lon,lat,epiraindiff,epirhdiff,epitdiff,finfmh,finfmf,finfmd,V12
509,693,-89.6975708,46.72110748,15.12142,-2.33341,1.25808,0.5744102,0.444056,-0.1303542,0.02380398
510,694,-89.66256714,46.83026123,17.59963,-1.61673,1.15445,0.6774339,0.4921268,-0.1853071,0.01890186
610,840,-89.64355469,46.36964035,7.85736,-2.10843,1.52045,0.6067945,0.4371242,-0.1696703,0.040223478
613,843,-89.53842163,46.69703293,11.39231,-2.10022,1.30694,0.5577533,0.4402584,-0.1174949,0.004980046
614,844,-89.50311279,46.8061409,10.66905,-2.06728,1.24976,0.5153281,0.4292371,-0.086091,0.001317181
716,991,-89.45025635,46.45459747,11.04962,-2.39185,1.4838,0.5757583,0.434011,-0.1417473,0.042999537
717,992,-89.41488647,46.56367493,9.081,-2.44544,1.38252,0.5690719,0.4337607,-0.1353112,0.030593116
718,993,-89.37939453,46.67274857,8.2025,-2.01086,1.32241,0.545974,0.4307611,-0.1152129,0.024693376
719,994,-89.34378052,46.78179932,9.89013,-1.90724,1.26492,0.5114531,0.4216747,-0.0897784,0.007697857
822,1141,-89.29196167,46.43018723,9.66592,-2.2144,1.44191,0.5828056,0.4392952,-0.1435104,0.043553626
823,1142,-89.25631714,46.5392189,10.14657,-2.19589,1.35542,0.5639562,0.4435586,-0.1203976,0.01876752
824,1143,-89.22052002,46.64824677,11.9645,-2.33049,1.24056,0.5371371,0.4228075,-0.1143296,0.00692391
825,1144,-89.18460083,46.75724792,9.49407,-2.12033,1.30038,0.5175439,0.419108,-0.0984359,0.016270441
826,1145,-89.14855957,46.86624527,12.55221,-1.91627,1.24529,0.5310296,0.4289939,-0.1020357,0.039583048
900,1262,-90.11758423,43.24078369,0.83036,-2.98373,1.1697,0.4877144,0.3618842,-0.1258302,0.028909267
905,1267,-89.95565796,43.78676987,3.72012,-3.56716,1.31203,0.4573008,0.312459,-0.1448418,0.048241189
909,1271,-89.82391357,44.22352219,11.82174,-3.82215,1.33603,0.4549221,0.2948058,-0.1601163,0.041305903
930,1292,-89.09790039,46.51454926,8.20648,-2.1358,1.32274,0.5550158,0.4258083,-0.1292075,0.031526877
932,1294,-89.02557373,46.7324791,11.12155,-2.01261,1.28254,0.5597909,0.4310708,-0.1287201,0.048659285
1009,1413,-89.93533325,43.32646561,1.69782,-3.12376,1.19899,0.4951953,0.357571,-0.1376243,0.004428371
1011,1415,-89.87014771,43.5447731,0.61796,-3.62986,1.285,0.4719239,0.3148977,-0.1570262,0.035612675
1012,1416,-89.83737183,43.65392303,2.21579,-3.3592,1.25435,0.4818569,0.320857,-0.1609999,0.021649509
1015,1419,-89.73828125,43.98135376,2.5043,-3.61331,1.37156,0.4505681,0.3046539,-0.1459142,0.020989546
1116,1562,-89.81802368,43.1936264,5.9735,-3.71828,1.17263,0.4706217,0.3288432,-0.1417785,0.042090003
