,X,lon,lat,hist25,fut25,defo25,V12
509,693,-89.6975708,46.72110748,96.0602738,97.8490701,1.788796306,0.02380398
510,694,-89.66256714,46.83026123,90.81316834,96.39645503,5.58328669,0.01890186
610,840,-89.64355469,46.36964035,92.9818478,97.9643661,4.982518298,0.040223478
613,843,-89.53842163,46.69703293,96.50988968,97.80347214,1.293582459,0.004980046
614,844,-89.50311279,46.8061409,97.77473624,98.3495895,0.574853257,0.001317181
716,991,-89.45025635,46.45459747,95.55298538,97.90451634,2.351530964,0.042999537
717,992,-89.41488647,46.56367493,95.29294528,98.05951764,2.766572365,0.030593116
718,993,-89.37939453,46.67274857,96.77135377,98.15900504,1.38765127,0.024693376
719,994,-89.34378052,46.78179932,97.76203088,98.62790125,0.865870372,0.007697857
822,1141,-89.29196167,46.43018723,95.26561131,98.02047051,2.754859202,0.043553626
823,1142,-89.25631714,46.5392189,96.11421853,97.84396187,1.729743342,0.01876752
824,1143,-89.22052002,46.64824677,97.05740178,98.25854225,1.201140466,0.00692391
825,1144,-89.18460083,46.75724792,97.74956408,98.37757944,0.628015361,0.016270441
826,1145,-89.14855957,46.86624527,97.49351049,98.43382669,0.9403162,0.039583048
900,1262,-90.11758423,43.24078369,98.19878284,99.17924891,0.980466067,0.028909267
905,1267,-89.95565796,43.78676987,98.48817415,99.38127948,0.893105332,0.048241189
909,1271,-89.82391357,44.22352219,98.54313031,99.44211125,0.898980938,0.041305903
930,1292,-89.09790039,46.51454926,95.712271,98.22564288,2.513371877,0.031526877
932,1294,-89.02557373,46.7324791,96.1624588,98.11419087,1.951732067,0.048659285
1009,1413,-89.93533325,43.32646561,98.08543401,99.19909264,1.11365863,0.004428371
1011,1415,-89.87014771,43.5447731,98.37015795,99.33097319,0.960815239,0.035612675
1012,1416,-89.83737183,43.65392303,98.20011984,99.32669556,1.126575717,0.021649509
1015,1419,-89.73828125,43.98135376,98.53055379,99.40896744,0.878413646,0.020989546
1116,1562,-89.81802368,43.1936264,98.36944968,99.318313,0.948863312,0.042090003
1118,1564,-89.75256348,43.41184616,98.16107891,99.27375902,1.112680106,0.009203963
1119,1565,-89.71960449,43.52095795,98.54382479,99.34170664,0.797881845,0.047913263
1148,1594,-88.70794678,46.68229294,96.41155332,98.45365363,2.042100318,0.021350812
1153,1599,-88.52163696,47.22636795,95.99126486,98.03911696,2.047852104,0.004434392
1227,1715,-89.56921387,43.4969368,98.4629677,99.33111036,0.868142661,0.043711902
1236,1724,-89.26477051,44.47831345,98.3861129,99.36441691,0.978304008,0.007907756
1237,1725,-89.23031616,44.58733368,98.2994794,99.29530438,0.995824986,0.021695286
1247,1735,-88.87817383,45.67706299,93.72189269,97.64013227,3.918239586,0.028198493
1262,1750,-88.32354736,47.30941772,94.67454744,97.50207336,2.827525922,0.024111732
1263,1751,-88.28536987,47.41810989,85.47470034,94.80506884,9.330368493,0.038189394
1333,1864,-89.45239258,43.36370087,98.32640197,99.31019741,0.983795434,0.015420428
1343,1874,-89.11206055,44.45365906,98.51994501,99.42449416,0.904549148,0.008914955
1344,1875,-89.07730103,44.56263733,98.39996418,99.41065888,1.010694702,0.009367614
1347,1878,-88.97225952,44.88949585,97.97476134,99.17198844,1.197227103,0.033793182
1369,1900,-88.16326904,47.28347778,96.76293333,98.37487438,1.611941055,0.0423057
1448,2022,-89.02911377,44.21094131,98.62824542,99.44208409,0.813838673,0.03783885
1457,2031,-88.71142578,45.19108963,96.84821899,98.65276034,1.804541346,0.040164857
1561,2178,-88.66497803,44.83917236,98.41894175,99.30484512,0.88590337,0.021064341
1562,2179,-88.62915039,44.94801331,98.39955329,99.35938119,0.959827904,0.013595137
1563,2180,-88.59313965,45.05685043,98.33899161,99.24696165,0.907970043,0.002868112
1564,2181,-88.55703735,45.16567612,98.29799746,99.19552518,0.897527717,0.007127907
1565,2182,-88.52075195,45.27448273,97.13330387,98.83833299,1.705029119,0.005893894
1650,2310,-89.1388855,42.85444641,98.42361548,99.35404522,0.930429743,0.023045806
1668,2328,-88.51153564,44.81370926,98.53377205,99.2647633,0.730991251,0.028069659
1669,2329,-88.47543335,44.9224968,98.45442899,99.2728313,0.818402311,0.044615582
1670,2330,-88.43914795,45.0312767,98.51064195,99.3108294,0.800187455,0.042758083
1671,2331,-88.402771,45.14004898,98.35745404,99.23703697,0.879582932,0.031814582
1672,2332,-88.36621094,45.24881363,98.12571685,99.13587089,1.010154042,0.026005991
1673,2333,-88.32952881,45.35756302,97.46887092,98.84614065,1.377269724,0.002825547
