insect_density,group,model,variable,lower,upper
10,Fraction Infected,normal,5pct,-16.3185956329115,-15.32265680913
10,Fraction Infected,normal,95pct,1.03053645999499,1.42172887945087
10,Fraction Infected,normal,mean,-7.92996191327264,-7.39440303932832
10,Fraction Infected,upper75,5pct,-35.1371,-32.56353
10,Fraction Infected,upper75,95pct,-17.3204,-15.15338
10,Fraction Infected,upper75,mean,-26.7508758386364,-24.5743554373377
10,Fraction Infected,lower25,5pct,-1.056568,1.014073
10,Fraction Infected,lower25,95pct,18.00806,20.01562
10,Fraction Infected,lower25,mean,8.99028277561266,10.7483391308247
10,Defoliation,normal,5pct,-0.0668799999999976,-0.0395099999999999
10,Defoliation,normal,95pct,0.48066,0.736360000000005
10,Defoliation,normal,mean,0.231907204545455,0.354749318181818
10,Defoliation,lower25,5pct,-0.6073288,-0.4018803
10,Defoliation,lower25,95pct,-0.0115951,0.005936401
10,Defoliation,lower25,mean,-0.278938540460249,-0.181141866994125
10,Defoliation,upper75,5pct,0.3245703,0.4982776
10,Defoliation,upper75,95pct,0.9062153,1.371758
10,Defoliation,upper75,mean,0.619458329935065,0.936678307467532
100,Fraction Infected,normal,5pct,-21.2155690773311,-18.1832042778885
100,Fraction Infected,normal,95pct,-0.501819694429538,0.348063342248403
100,Fraction Infected,normal,mean,-11.6864812615303,-9.64817643579308
100,Fraction Infected,upper75,5pct,-41.31608,-37.07065
100,Fraction Infected,upper75,95pct,-19.76956,-17.38152
100,Fraction Infected,upper75,mean,-31.0407385224026,-27.8248722574675
100,Fraction Infected,lower25,5pct,-3.887503,-1.521611
100,Fraction Infected,lower25,95pct,17.58835,19.53643
100,Fraction Infected,lower25,mean,6.89351580838539,8.92302436653961
100,Defoliation,normal,5pct,-0.0213099999999997,0.0107700000000079
100,Defoliation,normal,95pct,0.59348,0.939889999999991
100,Defoliation,normal,mean,0.292957665584416,0.462550152597403
100,Defoliation,lower25,5pct,-0.5028636,-0.3172225
100,Defoliation,lower25,95pct,7.105427e-14,7.948119e-06
100,Defoliation,lower25,mean,-0.154761826277381,-0.0918208357799887
100,Defoliation,upper75,5pct,0.3149659,0.500371
100,Defoliation,upper75,95pct,1.074312,1.71075
100,Defoliation,upper75,mean,0.661482466116883,1.04034806623377
400,Fraction Infected,normal,5pct,-35.0268687437096,-28.1433766834584
400,Fraction Infected,normal,95pct,-4.17941958868265,-2.08683870241275
400,Fraction Infected,normal,mean,-21.0098253628727,-15.8710124840296
400,Fraction Infected,upper75,5pct,-61.41104,-50.54326
400,Fraction Infected,upper75,95pct,-28.04686,-23.38791
400,Fraction Infected,upper75,mean,-44.9305446590909,-37.0632414577922
400,Fraction Infected,lower25,5pct,-10.56506,-6.857813
400,Fraction Infected,lower25,95pct,19.21062,22.32637
400,Fraction Infected,lower25,mean,3.67362073241071,5.73739810708507
400,Defoliation,normal,5pct,0.0437900000000013,0.119419999999991
400,Defoliation,normal,95pct,1.39656000000001,2.91753
400,Defoliation,normal,mean,0.630719412337662,1.27801874025974
400,Defoliation,lower25,5pct,-0.3300286,-0.1704531
400,Defoliation,lower25,95pct,6.110668e-13,2.287432e-08
400,Defoliation,lower25,mean,-0.0502241737789017,-0.0269521231507938
400,Defoliation,upper75,5pct,0.305929,0.5199437
400,Defoliation,upper75,95pct,2.054607,4.325055
