"","X","lon","lat","epiraindiff","epirhdiff","epitdiff","finfwh","finfwf","finfwd","difflower","diffupper","V12"
"509",693,-89.6975708007812,46.7211074829102,15.12142,-2.33341,1.25808,0.6416242,0.5419609,-0.0996633,-35.75623,8.56843,0.0238039803874912
"510",694,-89.6625671386719,46.8302612304688,17.59963,-1.61673,1.15445,0.6971681,0.6007234,-0.0964446999999999,-31.323453,6.428838,0.0189018600561113
"610",840,-89.6435546875,46.3696403503418,7.85736,-2.10843,1.52045,0.679194,0.5407249,-0.1384691,-38.376405,-0.4409904,0.0402234784888051
"613",843,-89.5384216308594,46.6970329284668,11.39231,-2.10021999999999,1.30694,0.6348836,0.547092,-0.0877916,-34.50113,10.3056,0.00498004604649083
"614",844,-89.5031127929688,46.8061408996582,10.66905,-2.06728000000001,1.24976,0.6313171,0.5472331,-0.0840839999999999,-35.14748,12.20134,0.00131718068211484
"716",991,-89.4502563476562,46.4545974731445,11.04962,-2.39185000000001,1.4838,0.6613765,0.5262205,-0.135156,-39.72907,1.930227,0.0429995370280878
"717",992,-89.4148864746094,46.5636749267578,9.081,-2.44544,1.38252,0.6539063,0.5320434,-0.1218629,-37.49859,3.5159,0.0305931157261909
"718",993,-89.37939453125,46.6727485656738,8.2025,-2.01085999999999,1.32241,0.6380736,0.5381711,-0.0999025,-35.866554,7.740632,0.0246933757210996
"719",994,-89.3437805175781,46.7817993164062,9.89013,-1.90724,1.26492,0.6362211,0.5337868,-0.1024343,-36.850678,8.652831,0.00769785682359014
"822",1141,-89.2919616699219,46.4301872253418,9.66592,-2.2144,1.44191,0.6693624,0.5391097,-0.1302527,-38.070647,1.448772,0.0435536260247034
"823",1142,-89.2563171386719,46.5392189025879,10.14657,-2.19589000000001,1.35542,0.6525497,0.5389745,-0.1135752,-36.342156,4.620427,0.018767520162001
"824",1143,-89.2205200195312,46.6482467651367,11.9645,-2.33049000000001,1.24056,0.6344086,0.5340366,-0.100372,-35.4455,7.76567,0.00692391023699201
"825",1144,-89.1846008300781,46.7572479248047,9.49407,-2.12033,1.30038,0.6330739,0.5391023,-0.0939715999999999,-36.05183,10.22948,0.0162704409816996
"826",1145,-89.1485595703125,46.8662452697754,12.55221,-1.91627,1.24529,0.6444616,0.5483051,-0.0961565,-33.90725,7.60274,0.0395830478154906
"900",1262,-90.1175842285156,43.2407836914062,0.830359999999999,-2.98372999999999,1.1697,0.609159,0.5263823,-0.0827767,-35.00038,13.66866,0.0289092667469006
"905",1267,-89.9556579589844,43.7867698669434,3.72011999999999,-3.56716,1.31203,0.5913235,0.5108901,-0.0804334,-37.99443,16.8426,0.0482411891905059
"909",1271,-89.8239135742188,44.2235221862793,11.82174,-3.82215000000001,1.33603,0.58724,0.5188901,-0.0683499,-34.63983,17.22296,0.0413059032075935
"930",1292,-89.097900390625,46.5145492553711,8.20648,-2.1358,1.32274,0.6512934,0.5275252,-0.1237682,-40.34808,5.75498,0.0315268773898936
"932",1294,-89.0255737304688,46.732479095459,11.12155,-2.01261,1.28254,0.6551065,0.5433417,-0.1117648,-36.79697,6.13955,0.0486592853224082
"1009",1413,-89.9353332519531,43.3264656066895,1.69782,-3.12376,1.19899,0.6026355,0.5335731,-0.0690624,-33.50871,17.29881,0.00442837070599467
"1011",1415,-89.8701477050781,43.5447731018066,0.617960000000004,-3.62986000000001,1.285,0.6011099,0.5187272,-0.0823826999999999,-35.8404,14.45567,0.0356126754811044
"1012",1416,-89.8373718261719,43.653923034668,2.21579000000001,-3.3592,1.25435,0.5987019,0.5158717,-0.0828302,-37.06623,14.05972,0.0216495093190048
"1015",1419,-89.73828125,43.9813537597656,2.5043,-3.61331,1.37156,0.578828,0.5029943,-0.0758337,-36.45937,16.27946,0.0209895464181074
"1116",1562,-89.8180236816406,43.1936264038086,5.9735,-3.71827999999999,1.17263,0.621373,0.5360415,-0.0853315,-34.7802,11.69568,0.0420900028931044
"1118",1564,-89.7525634765625,43.4118461608887,0.715240000000001,-3.38818999999999,1.27636,0.5995961,0.5310294,-0.0685667,-32.58274,15.13456,0.00920396326940676
"1119",1565,-89.7196044921875,43.5209579467773,0.821220000000004,-3.74283,1.28935,0.6106497,0.5209042,-0.0897454999999999,-37.16327,12.02466,0.0479132630345944
"1148",1594,-88.7079467773438,46.6822929382324,10.67356,-1.88638,1.28258,0.642797,0.538693,-0.104104,-36.019271,6.182384,0.0213508118140879
"1153",1599,-88.5216369628906,47.2263679504395,13.79467,-1.52977,1.28516,0.6576564,0.5665445,-0.0911119,-33.300693,8.324553,0.00443439166029691
"1227",1715,-89.5692138671875,43.4969367980957,-1.15158,-3.4427,1.30447,0.5954359,0.5198242,-0.0756117000000001,-36.94726,16.77351,0.0437119017695906
"1236",1724,-89.2647705078125,44.4783134460449,-2.06111,-3.68573000000001,1.27993,0.597707,0.5102498,-0.0874572,-36.25373,12.38645,0.00790775574699154
"1237",1725,-89.2303161621094,44.5873336791992,-0.457659999999997,-3.47842999999999,1.23897,0.5965419,0.512359,-0.0841828999999999,-35.5375,12.72936,0.0216952860783053
"1247",1735,-88.878173828125,45.6770629882812,5.8183,-2.1516,1.519,0.6745835,0.5496052,-0.1249783,-36.709341,1.929398,0.028198492872697
